GMT;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004
;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
10-7-2021 06:00;0.01;0;0.03;0;0.01;0;0.02;0.03;0.01;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.07;0;0;0.02;0;0;0;0;0;0.02;0.05;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0.06;0;0.02;0;0;0;0.02
10-7-2021 07:00;0.13;0.1;0.14;0.1;0.11;0.14;0.03;0.1;0.13;0.15;0.09;0.01;0.16;0.1;0.12;0.07;0.13;0.07;0.04;0.16;0.02;0.06;0.03;0.03;0.05;0.09;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.06;0.09;0.03;0.02;0.05;0.08;0.07;0.09;0.12;0.03
10-7-2021 08:00;0.13;0.09;0.13;0.09;0.11;0.14;0.03;0.1;0.13;0.14;0.09;0.01;0.16;0.1;0.12;0.07;0.13;0.06;0.04;0.16;0.03;0.05;0.03;0.03;0.05;0.09;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.06;0.09;0.02;0.02;0.05;0.08;0.07;0.09;0.12;0.03
10-7-2021 09:00;0.13;0.1;0.14;0.1;0.11;0.14;0.03;0.1;0.13;0.15;0.09;0.01;0.16;0.1;0.12;0.07;0.14;0.07;0.04;0.16;0.03;0.06;0.03;0.03;0.05;0.1;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.07;0.09;0.03;0.02;0.05;0.08;0.07;0.09;0.12;0.04
10-7-2021 10:00;0.12;0.1;0.14;0.09;0.11;0.14;0.02;0.1;0.13;0.14;0.09;0.01;0.16;0.1;0.12;0.06;0.13;0.06;0.04;0.16;0.02;0.05;0.03;0.03;0.05;0.09;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.06;0.09;0.02;0.02;0.04;0.08;0.06;0.09;0.12;0.03
10-7-2021 11:00;0.13;0.1;0.14;0.09;0.11;0.14;0.03;0.1;0.13;0.15;0.09;0.01;0.16;0.1;0.12;0.07;0.13;0.07;0.04;0.16;0.03;0.06;0.03;0.03;0.05;0.09;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.06;0.09;0.03;0.02;0.05;0.08;0.07;0.09;0.12;0.03
10-7-2021 12:00;0.12;0.1;0.14;0.1;0.11;0.14;0.03;0.1;0.13;0.15;0.09;0.01;0.16;0.1;0.12;0.07;0.13;0.07;0.04;0.16;0.02;0.05;0.03;0.03;0.05;0.09;0.04;0.06;0.1;0.07;0.14;0.12;0.13;0.03;0.09;0.01;0.07;0.11;0.06;0.05;0.06;0.09;0.03;0.02;0.04;0.08;0.07;0.09;0.12;0.03
10-7-2021 13:00;0.99;1.44;1.01;1.07;0.99;1.88;0.93;0.68;1.44;1.76;0.76;1.07;1.49;0.49;1.02;1.04;0.48;0.82;0.74;1.07;0.71;0.74;0.26;0.41;1.23;0.86;0.69;0.53;0.87;0.8;0.81;1.5;1.07;0.91;0.99;0.45;0.83;1.3;1.06;1.07;0.61;0.82;0.86;1.04;0.29;1.01;0.99;0.99;0.95;1.18
