GMT,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004
,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp
date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
14-7-2021 06:00,9.92,11.78,14.37,15.97,7.19,8.47,13.43,7.01,8.69,4.59,11.39,10.15,5.31,5.21,7.58,9.2,9.43,12.34,2.78,4.62,7.23,4.43,10.81,10.71,10.43,10.15,4.68,9.35,6.21,10.47,10.06,11.17,7.43,5.62,18.69,6.17,14.74,10.63,8.29,10.2,12.23,15.37,12.15,6.39,11.36,10.28,7.99,13.75,6.85,15.49
14-7-2021 07:00,1.58,1.82,0.82,1.88,1.1,0.44,1.84,1.14,1.24,0.34,1.59,0.82,0.76,1.32,1.77,0.93,1.73,1.1,1.6,1.82,1.22,0.94,0.67,1.94,1.77,0.94,1.32,1.88,1.7,2.62,1.93,0.91,2.16,1.1,1.01,2.23,1.21,1.69,2.52,1.8,1.32,2.67,0.94,2.7,2.2,0.77,0.91,1.13,2.23,2.48
14-7-2021 08:00,1.58,1.82,0.82,1.88,1.1,0.43,1.84,1.14,1.24,0.34,1.59,0.82,0.76,1.32,1.77,0.93,1.73,1.1,1.6,1.82,1.22,0.94,0.66,1.94,1.77,0.94,1.32,1.88,1.7,2.62,1.93,0.91,2.16,1.09,1.01,2.23,1.21,1.69,2.52,1.8,1.32,2.67,0.94,2.7,2.2,0.77,0.91,1.13,2.23,2.47
14-7-2021 09:00,1.58,1.82,0.82,1.88,1.11,0.44,1.84,1.14,1.25,0.34,1.6,0.82,0.76,1.33,1.77,0.93,1.73,1.1,1.61,1.82,1.23,0.94,0.67,1.94,1.78,0.94,1.32,1.88,1.7,2.62,1.93,0.91,2.16,1.1,1.01,2.23,1.21,1.69,2.52,1.8,1.33,2.67,0.95,2.7,2.2,0.77,0.91,1.13,2.23,2.48
14-7-2021 10:00,1.58,1.82,0.82,1.88,1.1,0.43,1.83,1.13,1.24,0.34,1.59,0.82,0.75,1.32,1.77,0.93,1.73,1.1,1.6,1.82,1.22,0.93,0.66,1.94,1.77,0.94,1.32,1.88,1.7,2.61,1.93,0.91,2.15,1.09,1.01,2.23,1.21,1.69,2.52,1.8,1.32,2.67,0.94,2.7,2.19,0.77,0.91,1.13,2.23,2.48
14-7-2021 11:00,1.58,1.82,0.82,1.89,1.11,0.44,1.84,1.14,1.24,0.34,1.59,0.82,0.76,1.32,1.77,0.93,1.73,1.1,1.6,1.82,1.22,0.94,0.66,1.95,1.77,0.94,1.32,1.88,1.7,2.62,1.93,0.91,2.16,1.09,1.01,2.23,1.21,1.69,2.52,1.8,1.32,2.67,0.94,2.7,2.2,0.77,0.91,1.13,2.23,2.48
14-7-2021 12:00,1.58,1.82,0.82,1.88,1.1,0.43,1.84,1.13,1.24,0.34,1.59,0.82,0.76,1.32,1.77,0.93,1.73,1.1,1.6,1.82,1.22,0.93,0.66,1.94,1.77,0.94,1.32,1.88,1.7,2.62,1.93,0.91,2.16,1.09,1.01,2.23,1.21,1.69,2.52,1.8,1.32,2.67,0.94,2.7,2.2,0.77,0.91,1.13,2.23,2.48
14-7-2021 13:00,2.34,2.25,1.69,0.87,1.58,1.94,1.86,1.73,1.02,0.88,1.56,0.48,1.02,2.62,1.21,0.81,2.09,1.32,1.7,1.91,1.23,0.8,1.27,1.14,1.6,2.72,1,0.76,0.82,3.04,1.95,2.11,4.8,2.07,0.8,1.22,2.33,2.01,1.79,1.13,2.59,3.09,0.95,2.69,1.59,1.01,2.95,1.27,1.96,1.66
