t0,date,P
15-7-2021 00:00,15-7-2021 04:00,8.853
15-7-2021 00:00,15-7-2021 07:00,4.272
15-7-2021 00:00,15-7-2021 10:00,4.502
15-7-2021 00:00,15-7-2021 13:00,4.486
15-7-2021 00:00,15-7-2021 16:00,1.602
15-7-2021 00:00,15-7-2021 19:00,9.929
15-7-2021 00:00,15-7-2021 22:00,1.945
15-7-2021 00:00,16-7-2021 01:00,0.917
15-7-2021 00:00,16-7-2021 04:00,0.965
15-7-2021 00:00,16-7-2021 07:00,0.184
15-7-2021 00:00,16-7-2021 10:00,0.646
15-7-2021 00:00,16-7-2021 13:00,0.176
15-7-2021 00:00,16-7-2021 16:00,0.001
15-7-2021 00:00,16-7-2021 19:00,0
15-7-2021 00:00,16-7-2021 22:00,0.001
15-7-2021 00:00,17-7-2021 01:00,0.002
15-7-2021 00:00,17-7-2021 04:00,0.003
15-7-2021 00:00,17-7-2021 07:00,0.004
15-7-2021 00:00,17-7-2021 10:00,0.001
15-7-2021 00:00,17-7-2021 13:00,0
15-7-2021 00:00,17-7-2021 16:00,0
15-7-2021 00:00,17-7-2021 19:00,0
15-7-2021 00:00,17-7-2021 22:00,0
15-7-2021 00:00,18-7-2021 01:00,0
15-7-2021 00:00,18-7-2021 04:00,0
15-7-2021 00:00,18-7-2021 07:00,0.003
15-7-2021 00:00,18-7-2021 10:00,0.001
15-7-2021 00:00,18-7-2021 13:00,0
15-7-2021 00:00,18-7-2021 16:00,0
15-7-2021 00:00,18-7-2021 19:00,0.001
15-7-2021 00:00,18-7-2021 22:00,0
15-7-2021 00:00,19-7-2021 01:00,0
15-7-2021 00:00,19-7-2021 04:00,0.014
15-7-2021 00:00,19-7-2021 07:00,0.068
15-7-2021 00:00,19-7-2021 10:00,0.166
15-7-2021 00:00,19-7-2021 13:00,0.149
15-7-2021 00:00,19-7-2021 16:00,0.177
15-7-2021 00:00,19-7-2021 19:00,0.013
15-7-2021 00:00,19-7-2021 22:00,0
15-7-2021 00:00,20-7-2021 01:00,0
15-7-2021 00:00,20-7-2021 04:00,0
15-7-2021 00:00,20-7-2021 07:00,0
15-7-2021 00:00,20-7-2021 10:00,0.011
15-7-2021 00:00,20-7-2021 13:00,0
15-7-2021 00:00,20-7-2021 16:00,0.003
15-7-2021 00:00,20-7-2021 19:00,0.002
15-7-2021 00:00,20-7-2021 22:00,0
15-7-2021 00:00,21-7-2021 01:00,0
15-7-2021 00:00,21-7-2021 04:00,0
15-7-2021 00:00,21-7-2021 07:00,0
15-7-2021 00:00,21-7-2021 10:00,0.004
15-7-2021 00:00,21-7-2021 13:00,0.004
15-7-2021 00:00,21-7-2021 16:00,0.002
15-7-2021 00:00,21-7-2021 19:00,0.002
